"imageID";"directoryName";"collectionDate";"acquisitionDate";"plotLocation";"variety";"symptom";"Chl";"Flav";"NBI"
"Noll10";"2020-09-14_016";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"senescence";6.156;2.175;2.83
"Okmz1";"2020-09-14_017";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"healthy";42.453;2.761;15.38
"Okmz2";"2020-09-14_018";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"healthy";27.02;3.02;8.95
"Okmz3";"2020-09-14_019";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"healthy";42.366;2.94;14.41
"Okmz4";"2020-09-14_020";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"healthy";36.258;2.901;12.5
"Okmz5";"2020-09-14_021";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"healthy";40.064;3.187;12.57
"Nomz1";"2020-09-14_022";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"buffalo treehopper";13.334;3.677;3.63
"Nomz2";"2020-09-14_023";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"buffalo treehopper";18.199;3.637;5
"Nomz3";"2020-09-14_024";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"buffalo treehopper";20.653;3.36;6.15
"Nomz4";"2020-09-14_025";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"mildew";28.477;2.721;10.47
"Nomz5";"2020-09-14_026";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"mildew";28.397;2.963;9.58
"Nomz6";"2020-09-14_027";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"wood diseases";6.65;2.926;2.27
"Nomz7";"2020-09-14_028";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"wood diseases";26.479;3.137;8.44
"Nomz8";"2020-09-14_029";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"green leafhopper";30.673;2.961;10.36
"Nomz9";"2020-09-14_030";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"senescence";5.13;2.931;1.75
"Nomz10";"2020-09-14_031";"14/09/2020";"14/09/2020";"DEVT";"Mauzac";"senescence";4.151;2.777;1.49
"Fdch1";"2020-10-02_001";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";7.489;3.694;2.03
"Fdch2";"2020-10-02_002";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";9.909;3.681;2.69
"Fdch3";"2020-10-02_003";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";15.657;3.504;4.47
"Fdch4";"2020-10-02_004";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";10.348;3.644;2.84
"Fdch5";"2020-10-02_005";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";18.12;3.397;5.33
"Fdch6";"2020-10-02_006";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";8.908;3.815;2.34
"Fdch7";"2020-10-02_007";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";8.242;3.58;2.3
"Fdch8";"2020-10-02_008";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";16.072;2.442;6.58
"Fdch9";"2020-10-02_009";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";21.994;3.996;5.5
"Fdch10";"2020-10-02_010";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";17.113;3.417;5.01
"Fdch11";"2020-10-02_011";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";13.138;2.949;4.46
"Fdch12";"2020-10-02_012";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"flavescence doree";11.393;3.085;3.69
"Okch1";"2020-10-02_013";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";31.448;2.807;11.2
"Okch2";"2020-10-02_014";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";38.546;2.69;14.33
"Okch3";"2020-10-02_015";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";39.086;3.72;10.51
"Okch4";"2020-10-02_016";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";36.769;2.737;13.43
"Okch5";"2020-10-02_017";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";39.624;2.843;13.94
"Okch6";"2020-10-02_018";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";38.83;3.007;12.91
"Okch7";"2020-10-02_019";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";43.007;3.08;13.96
"Okch8";"2020-10-02_020";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";33.198;2.779;11.95
"Okch9";"2020-10-02_021";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";34.804;2.56;13.59
"Okch10";"2020-10-02_022";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";34.978;2.911;12.02
"Okch11";"2020-10-02_023";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"healthy";36.127;3.511;10.29
"Noch1";"2020-10-02_024";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"wood diseases";24.045;3.405;7.06
"Noch2";"2020-10-02_025";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"wood diseases";16.247;3.569;4.55
"Noch3";"2020-10-02_026";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"wood diseases";42.569;2.542;16.75
"Noch4";"2020-10-02_027";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"wood diseases";9.121;3.222;2.83
"Noch5";"2020-10-02_028";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"wood diseases";24.614;2.591;9.5
"Noch6";"2020-10-02_029";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"wood diseases";30.121;3.022;9.97
"Noch7";"2020-10-02_030";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"senescence";30.607;2.664;11.49
"Noch8";"2020-10-02_031";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"green leafhopper";25.489;2.578;9.89
"Noch9";"2020-10-02_032";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"green leafhopper";21.507;2.891;7.44
"Noch10";"2020-10-02_033";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"green leafhopper";18.125;1.468;12.35
"Noch11";"2020-10-02_034";"01/10/2020";"02/10/2020";"LISLE SUR TARN";"Chardonnay";"green leafhopper";18.319;3.302;5.55
